School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,count,first_opt,second_opt,third_opt,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK,_opt_code,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs,Busbreakdown_ID:1
2016-2017,1345876,Special Ed AM Run,1420,M504,Other,3.09E+13,14,30870,34800,3469,9/25/15 7:55,9/25/15 8:04,Queens,MUTUAL BUS CORP. (B2321),15,2,Yes,No,No,9/25/15 8:04,,9/25/15 8:04,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1345876
2016-2017,1345784,Special Ed AM Run,1303,M670,Heavy Traffic,5.05E+13,14,50460,52000,5197,9/25/15 14:29,9/25/15 14:32,Bronx,LITTLE RICHIE BUS SERVICE,20,0,Yes,Yes,No,9/25/15 14:32,,9/25/15 14:32,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1345784
2016-2017,1345111,Special Ed PM Run,1303,M670,Mechanical Problem,5.05E+13,14,50460,51970,5499,9/29/15 8:29,9/29/15 8:32,Bronx,"G.V.C., LTD.",10,10,Yes,Yes,Yes,9/29/15 8:32,,9/29/15 8:32,Running Late,Pre-K,5499,5499,Frederick Douglass Academy,Public,School,2581 ADAM CLAYTON POWELL JR. BLVD.,Manhattan,NY,10039,-73.936935,40.824235,Yes,Yes,Yes,No,Yes,No,No,1345111
2016-2017,1341469,Special Ed AM Run,1303,M670,Heavy Traffic,5.05E+13,14,50460,52000,5197,10/14/15 16:38,10/14/15 17:07,Manhattan,FIRST STEPS TRANSP INC. (,,0,Yes,Yes,Yes,10/14/15 17:07,,10/14/15 17:07,Breakdown,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1341469
2016-2017,1340502,Special Ed AM Run,1303,M670,Heavy Traffic,5.05E+13,14,50460,52000,5197,10/19/15 7:58,10/19/15 8:01,Bronx,PIONEER TRANSPORTATION CO,15,7,Yes,No,No,10/19/15 8:01,,10/19/15 8:01,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1340502
2016-2017,1338408,Special Ed AM Run,1420,M504,Heavy Traffic,3.09E+13,14,30870,34800,3469,10/26/15 8:25,10/26/15 8:33,Bronx,"G.V.C., LTD.",15,12,Yes,Yes,Yes,10/26/15 8:33,,10/26/15 8:33,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1338408
2016-2017,1336705,Special Ed AM Run,1421,M504,Heavy Traffic,3.09E+13,14,30870,34800,3469,11/2/15 7:06,11/2/15 7:18,Bronx,"G.V.C., LTD.",45,0,Yes,Yes,No,11/2/15 7:18,,11/2/15 7:18,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1336705
2016-2017,1334462,Special Ed AM Run,1372,M504,Heavy Traffic,3.09E+13,14,30870,34800,3469,11/12/15 8:15,11/12/15 8:18,Bronx,"G.V.C., LTD.",20,8,Yes,Yes,Yes,11/12/15 8:18,,11/12/15 8:18,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1334462
2016-2017,1328859,Special Ed PM Run,1335,M744,Heavy Traffic,5.09E+13,14,50850,51230,5194,12/8/15 7:52,12/8/15 7:53,Bronx,"G.V.C., LTD.",,18,Yes,Yes,Yes,12/8/15 7:53,,12/8/15 7:53,Running Late,Pre-K,5194,5194,C.S. 194,Public,School,244 WEST 144TH STREET,Manhattan,NY,10030,-73.940977,40.821463,Yes,Yes,Yes,No,Yes,No,No,1328859
2016-2017,1349662,Special Ed PM Run,TN352,M557,Heavy Traffic,520005499,9,52000,5499,,9/9/15 7:33,9/9/15 7:36,Staten Island,PIONEER TRANSPORTATION CO,15,0,Yes,No,No,9/9/15 7:36,,9/9/15 7:36,Running Late,School-Age,5499,5499,Frederick Douglass Academy,Public,School,2581 ADAM CLAYTON POWELL JR. BLVD.,Manhattan,NY,10039,-73.936935,40.824235,Yes,Yes,Yes,No,Yes,No,No,1349662
