Busbreakdown_ID,first_opt,Run_Type,Bus_No,Reason,How_Long_Delayed,Occurred_On,Boro,Bus_Company_Name,name,address,type,agency
1350256,05200,"Special Ed PM Run",TN0375,"Heavy Traffic",20,"3/7/16 7:29",Bronx,"G.V.C., LTD.","PS 200 THE JAMES MCCUNE SMITH SCH","2589 7 Ave","Elementary School - Public","NYC DOE"
1349761,03422,"General Ed AM Run",24501,"Won`t Start","","9/9/15 7:07",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","SISULU-WALKER CHARTER SCHOOL","125 W 115 St","Elementary School - Public Charter","NYC DOE"
1349733,03185,"Special Ed PM Run",56104,"Mechanical Problem",30,"9/9/15 7:00",Bronx,"CONSOLIDATED BUS TRANS. I","PS 185 EARLY CHLDHD DISCOVERY","20 W 112 St","Elementary School - Public","NYC DOE"
1349695,03185,"Special Ed PM Run",56104,"Late return from Field Trip",15,"9/9/15 7:27",Bronx,"PIONEER TRANSPORTATION CO","PS 185 EARLY CHLDHD DISCOVERY","20 W 112 St","Elementary School - Public","NYC DOE"
1349444,05092,"Special Ed AM Run",4532,"Heavy Traffic",90,"9/9/15 8:00","Staten Island","ALL AMERICAN SCHOOL BUS C","PS 92 MARY MCLEOD BETHUNE","222 W 134 St","Elementary School - Public","NYC DOE"
1349439,03749,"General Ed AM Run",24534,Other,30,"9/9/15 8:07",Brooklyn,"L & M BUS CORP.","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1349358,03325,"General Ed AM Run",8023,"Heavy Traffic",20,"9/9/15 8:35",Brooklyn,"L & M BUS CORP (A)","WADLEIGH PERF AND VISUAL ARTS","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1349167,05318,"General Ed PM Run",20418,"Late return from Field Trip",20,"9/10/15 6:55",Manhattan,"LEESEL TRANSP CORP (B2192","THURGOOD MARSHALL ACADEMY- LOWER SCH","276 W 151 St","Elementary School - Public","NYC DOE"
1348955,03749,"General Ed AM Run",25558,Other,15,"9/10/15 7:55",Bronx,"PIONEER TRANSPORTATION CO","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1348697,05197,"Special Ed PM Run",10256,"Late return from Field Trip",45,"9/11/15 6:15",Brooklyn,"JOFAZ TRANSPORTATION INC.","PS 197 JOHN B RUSSWURM","2230 5 Ave","Elementary School - Public","NYC DOE"
1348367,03469,"Special Ed AM Run",1011,"Heavy Traffic",45,"9/11/15 13:43",Brooklyn,"BORO TRANSIT, INC.","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1347976,03279,"Special Ed AM Run",2594,Other,10,"9/16/15 7:30",Bronx,"ANOTHER RIDE INC.","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1347700,03469,"Special Ed AM Run",1011,Other,10,"9/16/15 15:20",Bronx,"G.V.C., LTD.","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1347661,03208,"General Ed PM Run",25747,"Won`t Start",20,"9/17/15 6:15",Bronx,"RELIANT TRANS, INC. (B232","PS 208 ALAIN L LOCKE","21 W 111 St","Elementary School - Public","NYC DOE"
1347557,03469,"Special Ed AM Run",1502,"Heavy Traffic",30,"9/17/15 7:11",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1347332,03279,"Special Ed AM Run",4533,"Heavy Traffic",10,"9/17/15 7:49",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1347137,03469,"Special Ed AM Run",1011,"Heavy Traffic",45,"9/18/15 7:00","Nassau County","LOGAN BUS COMPANY INC.","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1346939,03749,"General Ed PM Run",28752,"Mechanical Problem","","9/18/15 13:34","Staten Island","RELIANT TRANS, INC. (B232","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1346287,03469,"Special Ed AM Run",1011,"Mechanical Problem",15,"9/22/15 7:40","","ACME BUS CORP. (B2321)","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
