School_Year,OPT_Code,Is_OPT_Num,OPT_Clean,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2016-2017,1001,TRUE,01001,Comprehensive Kids Devel. Scho,Other Religion,School,101 Norfolk Street,Manhattan,NY,10002,-73.987271,40.718791,Yes,No,No,No,No,No,No
2016-2017,1561,TRUE,01561,CASCADE HS CTR FOR MULTIMEDIA,Public,School,198 FORSYTH STREET,Manhattan,NY,10002,-73.990635,40.722491,No,No,Yes,No,Yes,No,No
2016-2017,1569,TRUE,01569,BARD HS EARLY COLLEGE,Public,School,525 EAST HOUSTON STREET,Manhattan,NY,10002,-73.975438,40.718761,Yes,No,Yes,No,No,No,No
2016-2017,1600,TRUE,01600,SATELLITE ACADEMY,Public,School,198 FORSYTH STREET,Manhattan,NY,10002,-73.990635,40.722491,No,No,Yes,No,No,No,No
2016-2017,1616,TRUE,01616,COOK CTR GRAMMAR SCHOOL,Nonsectarian,School,219 STANTON STREET,Manhattan,NY,10002,-73.982171,40.719442,Yes,No,Yes,No,Yes,No,No
2016-2017,1657,TRUE,01657,MANHATTAN CHARTER SCHOOL,Charter,School,100 ATTORNEY STREET,Manhattan,NY,10002,-73.984365,40.718346,Yes,Yes,Yes,No,Yes,No,No
2016-2017,1658,TRUE,01658,GIRLS PREP CHARTER SCH NY ELEM,Charter,School,442 EAST HOUSTON STREET,Manhattan,NY,10002,-73.977811,40.71973,Yes,Yes,Yes,No,Yes,No,No
2016-2017,1659,TRUE,01659,GIRLS PREP CHARTER SCH NY MS,Charter,School,420 EAST 12TH STREET,Manhattan,NY,10009,-73.982949,40.729667,Yes,Yes,Yes,No,Yes,No,No
2016-2017,1669,TRUE,01669,PLACEMENT OFFICE,Public,Office,145 STANTON STREET  ROOM 253,Manhattan,NY,10002,-73.985688,40.720511,No,No,No,No,No,No,No
2016-2017,1705,TRUE,01705,ST BRIGID SCHOOL,Parochial,School,185 EAST 7TH STREET,Manhattan,NY,10009,-73.980523,40.72488,Yes,No,Yes,No,Yes,No,No
2016-2017,1707,TRUE,01707,ST GEORGE ACADEMY HS,Parochial,School,215 EAST 6TH STREET,Manhattan,NY,10003,-73.989869,40.728052,No,No,Yes,No,No,No,No
2016-2017,1761,TRUE,01761,IMMACULATE CONCEPTION SCH,Parochial,School,419 EAST 13TH STREET,Manhattan,NY,10009,-73.982419,40.730479,No,No,Yes,No,No,No,No
2016-2017,1765,TRUE,01765,LASALLE ACADEMY,Parochial,School,215 EAST 6TH STREET,Manhattan,NY,10003,-73.989869,40.728052,No,No,Yes,No,No,No,No
2016-2017,1769,TRUE,01769,GEORGE JACKSON ACADEMY,Nonsectarian,School,104 ST. MARK'S PLACE,Manhattan,NY,10009,-73.984819,40.727297,No,No,Yes,No,No,No,No
2016-2017,1137,TRUE,01137,PS 137,Public,School,293 EAST BROADWAY,Manhattan,NY,10002,-73.983731,40.714492,Yes,No,Yes,No,Yes,No,No
2016-2017,1817,TRUE,01817,BETH JACOB SCHOOL,Yeshiva,School,142 BROOME STREET,Manhattan,NY,10002,-73.984109,40.716355,No,Yes,Yes,No,Yes,No,Yes
2016-2017,1854,TRUE,01854,LOWER EAST SIDE PREP,Public,School,145 STANTON STREET,Manhattan,NY,10002,-73.985688,40.720511,No,No,Yes,No,Yes,No,No
2016-2017,1867,TRUE,01867,Thompkins Square Middle School,Public,School,600 EAST 6TH STREET,Manhattan,NY,10009,-73.981338,40.724272,Yes,Yes,Yes,No,No,No,No
2016-2017,1991,TRUE,01991,ALC @ BOYS CLUB,Public,School,287 EAST 10TH STREET,Manhattan,NY,10009,-73.982659,40.728123,No,No,No,No,No,No,No
2016-2017,2001,TRUE,02001,PS 1,Public,School,8 HENRY STREET,Manhattan,NY,10038,-73.997481,40.712682,Yes,Yes,Yes,No,Yes,No,No
2016-2017,2002,TRUE,02002,PS 2,Public,School,122 HENRY STREET,Manhattan,NY,10002,-73.991337,40.713194,Yes,Yes,Yes,No,Yes,No,No
2016-2017,2003,TRUE,02003,PS 3,Public,School,490 HUDSON STREET,Manhattan,NY,10014,-74.006367,40.73258,Yes,Yes,Yes,No,Yes,No,No
2016-2017,1345,TRUE,01345,COLL.ACAD.SCI-TECH-LANG.ARTS,Public,School,220 HENRY STREET,Manhattan,NY,10002,-73.986331,40.713608,No,No,Yes,No,No,No,No
2016-2017,2004,TRUE,02004,DE LA SALLE ACADEMY,Nonsectarian,School,332 WEST 43RD STREET,Manhattan,NY,10036,-73.990403,40.758275,No,No,Yes,No,No,No,No
2016-2017,2005,TRUE,02005,P751M @ HARVEY MILK HS,Public,School,2-10 ASTOR PLACE,Manhattan,NY,10011,-73.992652,40.729963,No,No,Yes,No,No,No,No
2016-2017,2006,TRUE,02006,PS 6,Public,School,45 EAST 81ST STREET,Manhattan,NY,10028,-73.960676,40.777527,Yes,Yes,Yes,No,Yes,No,No
2016-2017,2007,TRUE,02007,RESTART @CO-OP TECH-,Public,School,321 EAST 96TH STREET 4TH FLOOR,Manhattan,NY,10128,-73.946336,40.784024,Yes,No,Yes,No,No,No,No
2016-2017,2008,TRUE,02008,OFFICE OF ACCOUNTABILITY,Public,Office,52 CHAMBERS STREET ROOM 213,Manhattan,NY,10007,-74.005623,40.713747,No,No,No,No,No,No,No
2016-2017,2009,TRUE,02009,Office of District Planning,Public,Office,52 Chambers Street RM 219,Manhattan,NY,10007,-74.005623,40.713747,No,No,No,No,No,No,No
2016-2017,2010,TRUE,02010,FAMILY WELCOME CENTER,Public,Office,333 7TH AVENUE   7TH FLOOR,Manhattan,NY,10002,-73.992951,40.747621,No,No,No,No,No,No,No
2016-2017,2011,TRUE,02011,PS 11,Public,School,320 WEST 21ST STREET,Manhattan,NY,10011,-74.0003,40.744282,Yes,Yes,Yes,No,Yes,No,No
2016-2017,2012,TRUE,02012,OFFICE OF LIBRARY SERVICES,Public,Office,333 SEVENTH AVENUE  ROOM 801,Manhattan,NY,10007,-73.992951,40.747621,No,No,No,No,No,No,No
2016-2017,2013,TRUE,02013,RESTART@EUPHRASIAN RESIDENCE,Public,School,337 EAST 17TH STREET,Manhattan,NY,10003,-73.982255,40.733805,No,No,No,No,No,No,No
2016-2017,2014,TRUE,02014,TREVOR DAY SCHOOL,Nonsectarian,School,312 EAST 95TH STREET,Manhattan,NY,10128,-73.947094,40.783267,No,No,Yes,No,No,No,No
2016-2017,2016,TRUE,02016,Quad Preparatory School,Nonsectarian,School,25 Pine Street,Manhattan,NY,10005,-74.009962,40.707433,Yes,No,Yes,No,No,No,No
2016-2017,2017,TRUE,02017,OFFICE OF EQUITY & ACCESS,Public,Office,52 CHAMBERS STREET  ROOM 215,Manhattan,NY,10007,-74.005623,40.713747,No,No,No,No,No,No,No
2016-2017,2018,TRUE,02018,OFFICE OF E ADULT EDUCATION,Public,Office,500 EIGHT AVENUE  ROOM 1018,Manhattan,NY,10018,-73.992814,40.752905,No,No,No,No,No,No,No
2016-2017,2019,TRUE,02019,BEACON SCHOOL,Public,School,522 WEST 44TH STREET,Manhattan,NY,10036,-73.995846,40.761383,Yes,No,Yes,No,No,No,No
2016-2017,2020,TRUE,02020,DIV OF FAM & COMM ENGAGEMENT,Public,Office,100 GOLD STREET,Manhattan,NY,10038,-74.003558,40.710518,No,No,No,No,No,No,No
2016-2017,2021,TRUE,02021,Success Academy Midtown West,Charter,School,"439 West 49th Street, 3rd Floor",Manhattan,NY,10019,-73.990541,40.763436,No,No,Yes,No,No,No,No
2016-2017,2022,TRUE,02022,P2G @ CONVENANT HOUSE,Public,School,460 WEST 41ST STREET,Manhattan,NY,10036,-73.995163,40.758584,No,No,Yes,No,No,No,No
2016-2017,2023,TRUE,02023,P751M @ NYU WEINSTEIN HALL,Public,School,5-11 UNIVERSITY PLACE,Manhattan,NY,10011,-73.994969,40.731316,Yes,No,Yes,No,No,No,No
2016-2017,2024,TRUE,02024,SEO - Sponsors for Educational,Nonsectarian,Office,"55 Exchange Place, Suite 601",Manhattan,NY,10005,-74.010907,40.706186,No,No,Yes,No,No,No,No
2016-2017,2027,TRUE,02027,OFFICE OF COMMUNITY SCHOOLS,Public,Office,52 CHAMBERS STREET  3M DESK 3,Manhattan,NY,10007,-74.005623,40.713747,No,No,No,No,No,No,No
2016-2017,2028,TRUE,02028,Happy Hour 4 Kids,Nonsectarian,School,121 East 30th Street,Manhattan,NY,10016,-73.982151,40.744139,Yes,No,Yes,No,No,No,No
2016-2017,2029,TRUE,02029,Fusion Academy,Nonsectarian,School,450 Park Avenue South,Manhattan,NY,10016,-73.982977,40.74485,Yes,No,No,No,No,No,No
2016-2017,2030,TRUE,02030,THE NEW YORK INTERNATIONAL SCH,Nonsectarian,School,4 East 90th Street,Manhattan,NY,10128,-73.958307,40.783895,No,No,Yes,No,No,No,No
2016-2017,2031,TRUE,02031,THE SHEFA SCHOOL,Yeshiva,School,40 East 29th Street,Manhattan,NY,10016,-73.98483,40.744356,Yes,Yes,Yes,No,No,No,No
2016-2017,2032,TRUE,02032,P094M@ YMCA,Public,School,122 HENRY STREET,Manhattan,NY,10002,-73.991337,40.713194,No,No,No,No,No,No,No
2016-2017,2033,TRUE,02033,PS 33,Public,School,281 9TH AVENUE,Manhattan,NY,10001,-73.999738,40.748849,Yes,Yes,Yes,No,Yes,No,No
2016-2017,2034,TRUE,02034,OFF OF ARTS &  SPECIAL PROJECT,Public,Office,52 CHAMBERS STREET ROOM 113,Manhattan,NY,10007,-74.005623,40.713747,No,No,Yes,No,No,No,No
2016-2017,2035,TRUE,02035,P035M @ M912,Public,School,522 WEST 44TH STREET,Manhattan,NY,10019,-73.995846,40.761383,Yes,No,Yes,No,No,No,No
2016-2017,2036,TRUE,02036,NYC Charter School of the Arts,Charter,School,25 Pine Street,Manhattan,NY,10005,-74.009962,40.707433,Yes,Yes,Yes,No,No,No,No
2016-2017,2037,TRUE,02037,ATLAS Foundation for Autism,Nonsectarian,School,"252 West 29th Street, Floor 3",Manhattan,NY,10001,-73.994439,40.748403,Yes,No,Yes,No,No,No,No
2016-2017,2038,TRUE,02038,THE WINDWARD SCHOOL,Nonsectarian,School,212 East 93rd Street,Manhattan,NY,10128,-73.950219,40.783034,Yes,Yes,Yes,No,No,No,No
2016-2017,2039,TRUE,02039,Portfolio School,Nonsectarian,School,27 North Moore Street,Manhattan,NY,10013,-74.007486,40.719855,No,No,Yes,No,No,No,No
2016-2017,2040,TRUE,02040,PS 40,Public,School,320 EAST 20th STREET,Manhattan,NY,10003,-73.98172,40.735692,No,No,Yes,No,Yes,No,No
2016-2017,2041,TRUE,02041,PS 41,Public,School,116 WEST 11TH STREET,Manhattan,NY,10011,-73.99906,40.735621,No,Yes,Yes,No,Yes,No,No
