OPT_Code,Name,Affiliation,Site_Type,Street_Address,Zip,Longitude,Latitude
1001,Comprehensive Kids Devel. Scho,Other Religion,School,101 Norfolk Street,10002,-73.987271,40.718791
1561,CASCADE HS CTR FOR MULTIMEDIA,Public,School,198 FORSYTH STREET,10002,-73.990635,40.722491
1569,BARD HS EARLY COLLEGE,Public,School,525 EAST HOUSTON STREET,10002,-73.975438,40.718761
1600,SATELLITE ACADEMY,Public,School,198 FORSYTH STREET,10002,-73.990635,40.722491
1616,COOK CTR GRAMMAR SCHOOL,Nonsectarian,School,219 STANTON STREET,10002,-73.982171,40.719442
1657,MANHATTAN CHARTER SCHOOL,Charter,School,100 ATTORNEY STREET,10002,-73.984365,40.718346
1658,GIRLS PREP CHARTER SCH NY ELEM,Charter,School,442 EAST HOUSTON STREET,10002,-73.977811,40.71973
1659,GIRLS PREP CHARTER SCH NY MS,Charter,School,420 EAST 12TH STREET,10009,-73.982949,40.729667
1669,PLACEMENT OFFICE,Public,Office,145 STANTON STREET  ROOM 253,10002,-73.985688,40.720511
1705,ST BRIGID SCHOOL,Parochial,School,185 EAST 7TH STREET,10009,-73.980523,40.72488
1707,ST GEORGE ACADEMY HS,Parochial,School,215 EAST 6TH STREET,10003,-73.989869,40.728052
1761,IMMACULATE CONCEPTION SCH,Parochial,School,419 EAST 13TH STREET,10009,-73.982419,40.730479
1765,LASALLE ACADEMY,Parochial,School,215 EAST 6TH STREET,10003,-73.989869,40.728052
1769,GEORGE JACKSON ACADEMY,Nonsectarian,School,104 ST. MARK'S PLACE,10009,-73.984819,40.727297
1137,PS 137,Public,School,293 EAST BROADWAY,10002,-73.983731,40.714492
1817,BETH JACOB SCHOOL,Yeshiva,School,142 BROOME STREET,10002,-73.984109,40.716355
1854,LOWER EAST SIDE PREP,Public,School,145 STANTON STREET,10002,-73.985688,40.720511
1867,Thompkins Square Middle School,Public,School,600 EAST 6TH STREET,10009,-73.981338,40.724272
1991,ALC @ BOYS CLUB,Public,School,287 EAST 10TH STREET,10009,-73.982659,40.728123
2001,PS 1,Public,School,8 HENRY STREET,10038,-73.997481,40.712682
2002,PS 2,Public,School,122 HENRY STREET,10002,-73.991337,40.713194
2003,PS 3,Public,School,490 HUDSON STREET,10014,-74.006367,40.73258
1345,COLL.ACAD.SCI-TECH-LANG.ARTS,Public,School,220 HENRY STREET,10002,-73.986331,40.713608
2004,DE LA SALLE ACADEMY,Nonsectarian,School,332 WEST 43RD STREET,10036,-73.990403,40.758275
2005,P751M @ HARVEY MILK HS,Public,School,2-10 ASTOR PLACE,10011,-73.992652,40.729963
2006,PS 6,Public,School,45 EAST 81ST STREET,10028,-73.960676,40.777527
2007,RESTART @CO-OP TECH-,Public,School,321 EAST 96TH STREET 4TH FLOOR,10128,-73.946336,40.784024
2008,OFFICE OF ACCOUNTABILITY,Public,Office,52 CHAMBERS STREET ROOM 213,10007,-74.005623,40.713747
2009,Office of District Planning,Public,Office,52 Chambers Street RM 219,10007,-74.005623,40.713747
2010,FAMILY WELCOME CENTER,Public,Office,333 7TH AVENUE   7TH FLOOR,10002,-73.992951,40.747621
2011,PS 11,Public,School,320 WEST 21ST STREET,10011,-74.0003,40.744282
2012,OFFICE OF LIBRARY SERVICES,Public,Office,333 SEVENTH AVENUE  ROOM 801,10007,-73.992951,40.747621
2013,RESTART@EUPHRASIAN RESIDENCE,Public,School,337 EAST 17TH STREET,10003,-73.982255,40.733805
2014,TREVOR DAY SCHOOL,Nonsectarian,School,312 EAST 95TH STREET,10128,-73.947094,40.783267
2016,Quad Preparatory School,Nonsectarian,School,25 Pine Street,10005,-74.009962,40.707433
2017,OFFICE OF EQUITY & ACCESS,Public,Office,52 CHAMBERS STREET  ROOM 215,10007,-74.005623,40.713747
2018,OFFICE OF E ADULT EDUCATION,Public,Office,500 EIGHT AVENUE  ROOM 1018,10018,-73.992814,40.752905
2019,BEACON SCHOOL,Public,School,522 WEST 44TH STREET,10036,-73.995846,40.761383
2020,DIV OF FAM & COMM ENGAGEMENT,Public,Office,100 GOLD STREET,10038,-74.003558,40.710518
2021,Success Academy Midtown West,Charter,School,"439 West 49th Street, 3rd Floor",10019,-73.990541,40.763436
2022,P2G @ CONVENANT HOUSE,Public,School,460 WEST 41ST STREET,10036,-73.995163,40.758584
2023,P751M @ NYU WEINSTEIN HALL,Public,School,5-11 UNIVERSITY PLACE,10011,-73.994969,40.731316
2024,SEO - Sponsors for Educational,Nonsectarian,Office,"55 Exchange Place, Suite 601",10005,-74.010907,40.706186
2027,OFFICE OF COMMUNITY SCHOOLS,Public,Office,52 CHAMBERS STREET  3M DESK 3,10007,-74.005623,40.713747
2028,Happy Hour 4 Kids,Nonsectarian,School,121 East 30th Street,10016,-73.982151,40.744139
2029,Fusion Academy,Nonsectarian,School,450 Park Avenue South,10016,-73.982977,40.74485
2030,THE NEW YORK INTERNATIONAL SCH,Nonsectarian,School,4 East 90th Street,10128,-73.958307,40.783895
2031,THE SHEFA SCHOOL,Yeshiva,School,40 East 29th Street,10016,-73.98483,40.744356
2032,P094M@ YMCA,Public,School,122 HENRY STREET,10002,-73.991337,40.713194
2033,PS 33,Public,School,281 9TH AVENUE,10001,-73.999738,40.748849
2034,OFF OF ARTS &  SPECIAL PROJECT,Public,Office,52 CHAMBERS STREET ROOM 113,10007,-74.005623,40.713747
2035,P035M @ M912,Public,School,522 WEST 44TH STREET,10019,-73.995846,40.761383
2036,NYC Charter School of the Arts,Charter,School,25 Pine Street,10005,-74.009962,40.707433
2037,ATLAS Foundation for Autism,Nonsectarian,School,"252 West 29th Street, Floor 3",10001,-73.994439,40.748403
2038,THE WINDWARD SCHOOL,Nonsectarian,School,212 East 93rd Street,10128,-73.950219,40.783034
2039,Portfolio School,Nonsectarian,School,27 North Moore Street,10013,-74.007486,40.719855
2040,PS 40,Public,School,320 EAST 20th STREET,10003,-73.98172,40.735692
2041,PS 41,Public,School,116 WEST 11TH STREET,10011,-73.99906,40.735621
2042,PS 42,Public,School,71 HESTER STREET,10002,-73.990854,40.715976
2043,ALTERNATIVE EDUCATION COMPLEX,Public,Office,269 WEST 35TH STREET  ROOM 1018,10018,-73.991871,40.752486
2047,47 AMER.SIGN LANG.& ENGL. SCH.,Public,School,223 EAST 23RD STREET,10010,-73.982421,40.738622
2051,PS 51-THE ELIAS HOWE SCHOOL,Public,School,525 WEST 44TH STREET,10036,-73.995759,40.761541
2059,PS 59,Public,School,233 EAST 56TH STREET,10022,-73.967141,40.759303
2089,PS 89,Public,School,201 WARREN STREET,10282,-74.013502,40.716552
2104,MS 104,Public,School,330 EAST 21ST STREET,10010,-73.980724,40.736035
2111,PS 111,Public,School,440 WEST 53RD STREET,10019,-73.988853,40.765804
2116,PS 116,Public,School,210 EAST 33RD STREET,10016,-73.978164,40.744772
2124,CES 124 YUNG WING,Public,School,40 DIVISION STREET,10002,-73.996324,40.714216
2126,PS 126/MANHATTAN ACAD OF TECH,Public,School,80 CATHERINE STREET,10038,-73.996841,40.711174
2130,PS 130,Public,School,143 BAXTER STREET,10013,-73.998349,40.718867
2131,IS 131,Public,School,100 HESTER STREET,10002,-73.993126,40.71648
2135,U.A. SCH EMERG MANAGEMENT HS,Public,School,411 PEARL STREET,10038,-74.00095,40.711428
2138,P721M @ DISTRICT 75,Public,School,400 1ST AVENUE,10010,-73.978214,40.73707
2139,BUILD.ARTS & CRAFTMANSHIP HS,Public,School,439 WEST 49TH STREET,10019,-73.990541,40.763436
2150,PS 150,Public,School,334 GREENWICH STREET,10013,-74.01062,40.718228
2151,YORKVILLE COMM SCH PS 151,Public,School,421 EAST 88TH STREET,10128,-73.947716,40.777981
2158,PS 158,Public,School,1458 YORK AVENUE,10021,-73.951045,40.770381
2167,JHS 167,Public,School,220 EAST 76TH STREET,10021,-73.958123,40.771983
2169,P169M @ P169M,Public,School,110 EAST 88TH STREET,10028,-73.955731,40.781165
2170,SUCCESS ACADEMY HELL'S KITCHEN,Charter,School,439 WEST 49TH STREET,10017,-73.990541,40.763436
2174,SUCCESS ACADEMY UNION SQUARE,Charter,School,40 IRVING PLACE,10003,-73.987544,40.735491
2177,YORKVILLE EAST MIDDLE SCHOOL,Public,School,1458 YORK AVENUE,10075,-73.951045,40.770381
2183,PS 183,Public,School,419 EAST 66TH STREET,10021,-73.958118,40.763809
2198,PS 198,Public,School,1700 3RD AVENUE,10128,-73.949701,40.784861
2217,IS 217,Public,School,"645 MAIN STREET, ROOSEVELT ISLAND",10044,-73.948001,40.763936
2260,THE CLINTON SCH WRITERS-ARTIST,Public,School,10 EAST 15TH STREET,10003,-73.992792,40.736457
2267,PS 267,Public,School,213 EAST 63RD STREET,10065,-73.964187,40.763915
2280,MAN EARLY COLL SCH FOR ADV.,Public,School,411 PEARL STREET,10038,-74.00095,40.711428
2281,PS 281 THE RIVER SCHOOL,Public,School,425 EAST 35TH STREET,10016,-73.972541,40.744347
2282,URBAN ASSEMBLY MAKER ACADEMY,Public,School,411 PEARL STREET,10038,-74.00095,40.711428
2289,IS 289,Public,School,201 WARREN STREET,10282,-74.013502,40.716552
2300,VANGUARD HS,Public,School,317 E 67 ST,10021,-73.96002,40.765429
2305,URBAN ASSEMBLY GOVERN. & LAW,Public,School,350 GRAND STREET,10002,-73.989303,40.71685
2308,LOWER MANHATTAN ARTS ACADEMY,Public,School,350 GRAND STREET,10002,-73.989303,40.71685
2310,P138M @ PARK WEST HS,Public,School,525 West 50th Street,10019,-73.992634,40.765137
2312,NEW YORK CITY LAB JHS,Public,School,333 WEST 17TH STREET,10011,-74.002125,40.742184
2313,THE JAMES BALDWIN HS,Public,School,351 WEST 18TH STREET,10011,-74.002069,40.742925
2316,URBAN ASSEMBLY BUS YOUNG WOMEN,Public,School,81 NEW STREET,10004,-74.012619,40.705264
2325,PS 234(INDEPENDENCE SCHOOL),Public,School,292 GREENWICH STREET,10007,-74.011136,40.716022
2340,SIXTH AVENUE ELEMENTARY SCH,Public,School,590 AVENUE OF THE AMERICAS,10011,-73.995443,40.739102
2343,THE PECK SLIP SCHOOL,Public,School,1 PECK SLIP,10019,-74.002328,40.708806
2347,THE ASL & ENGLISH LOWER SCH,Public,School,223 EAST 23RD STREET,10010,-73.982421,40.738622
2350,H.S. OF ECONOMICS & FINANCE,Public,School,100 TRINITY PLACE,10006,-74.012111,40.70923
2351,SUCCESS ACAD HS LIBERAL ARTS,Charter,School,111 EAST 33RD STREET,10016,-73.981243,40.746266
2358,MANHATTAN VILLAGE ACADEMY,Public,School,43 WEST 22 STREET,10010,-73.991466,40.741563
2360,MANHATTAN INTERNATIONAL HS,Public,School,317 EAST 67 STREET,10021,-73.96002,40.765429
2365,LANDMARK HIGH SCHOOL,Public,School,351 WEST 18TH STREET,10019,-74.002069,40.742925
